[19Dec2024 00:00:33.562] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [R3hsk: Set own game mode to Creative Mode]
[19Dec2024 00:01:10.663] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [R3hsk: Set own game mode to Survival Mode]
[19Dec2024 00:01:56.052] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: R3hsk has made the advancement [An alchemist's best friend!]
[19Dec2024 00:02:37.627] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [R3hsk: Set own game mode to Creative Mode]
[19Dec2024 00:02:45.755] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [R3hsk: Set own game mode to Survival Mode]
[19Dec2024 00:03:28.780] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [R3hsk: Set own game mode to Creative Mode]
[19Dec2024 00:05:05.560] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: R3hsk has made the advancement [All that Matters.]
[19Dec2024 00:06:26.820] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [R3hsk: Set own game mode to Survival Mode]
[19Dec2024 00:06:33.908] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: R3hsk has made the advancement [Using Matter on Matter]
[19Dec2024 00:11:05.381] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-4620, y=110, z=-5401} BlockPos{x=-4618, y=110, z=-5401}
[19Dec2024 00:11:05.425] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-4620, y=110, z=-5401} BlockPos{x=-4618, y=110, z=-5401}
[19Dec2024 00:11:05.474] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-4620, y=110, z=-5401} BlockPos{x=-4618, y=110, z=-5401}
[19Dec2024 00:11:05.543] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-4620, y=110, z=-5401} BlockPos{x=-4618, y=110, z=-5401}
[19Dec2024 00:11:05.605] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-4620, y=110, z=-5401} BlockPos{x=-4618, y=110, z=-5401}
[19Dec2024 00:11:05.627] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-4620, y=110, z=-5401} BlockPos{x=-4618, y=110, z=-5401}
[19Dec2024 00:11:05.688] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-4620, y=110, z=-5401} BlockPos{x=-4618, y=110, z=-5401}
[19Dec2024 00:11:05.736] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-4620, y=110, z=-5401} BlockPos{x=-4618, y=110, z=-5401}
[19Dec2024 00:11:05.783] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-4620, y=110, z=-5401} BlockPos{x=-4618, y=110, z=-5401}
[19Dec2024 00:11:05.839] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-4620, y=110, z=-5401} BlockPos{x=-4618, y=110, z=-5401}
[19Dec2024 00:11:05.887] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-4620, y=110, z=-5401} BlockPos{x=-4618, y=110, z=-5401}
[19Dec2024 00:11:05.942] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-4620, y=110, z=-5401} BlockPos{x=-4618, y=110, z=-5401}
